ox_code	kt_2la	kt_2rb
AB0085-C	2	2
AB0087-C	2	1
AB0088-C	2	0
AB0089-C	2	1
AB0090-C	2	0
AB0091-C	2	0
AB0092-C	2	1
AB0094-C	2	1
AB0095-C	2	0
AB0097-C	2	0
AB0098-C	2	1
AB0099-C	2	0
AB0100-C	2	0
AB0101-C	2	0
AB0103-C	2	2
AB0104-C	2	2
AB0109-C	2	0
AB0110-C	2	1
AB0111-C	2	0
AB0112-C	2	0
AB0113-C	2	2
AB0114-C	2	1
AB0117-C	1	2
AB0119-C	2	2
AB0122-C	2	0
AB0123-C	2	0
AB0124-C	2	1
AB0126-C	1	2
AB0127-C	2	2
AB0128-C	2	2
AB0129-C	2	1
AB0130-C	2	1
AB0133-C	2	2
AB0134-C	2	1
AB0135-C	2	2
AB0136-C	2	2
AB0137-C	2	1
AB0138-C	2	1
AB0139-C	2	0
AB0140-C	2	0
AB0142-C	2	0
AB0143-C	2	2
AB0145-C	1	2
AB0146-C	2	2
AB0147-C	2	1
AB0148-C	1	2
AB0151-C	1	1
AB0153-C	1	1
AB0155-C	2	1
AB0157-C	1	1
AB0158-C	2	1
AB0159-C	2	2
AB0160-C	2	2
AB0161-C	2	2
AB0164-C	2	0
AB0166-C	2	1
AB0169-C	2	2
AB0170-C	1	1
AB0171-C	2	1
AB0172-C	2	2
AB0173-C	2	2
AB0174-C	2	1
AB0175-C	2	2
AB0176-C	2	2
AB0177-C	2	2
AB0178-C	2	1
AB0179-C	2	1
AB0181-C	2	0
AB0182-C	2	1
AB0183-C	2	1
AB0184-C	2	0
AB0185-C	2	0
AB0186-C	2	1
AB0187-C	2	0
AB0188-C	2	2
AB0189-C	2	1
AB0190-C	2	1
AB0191-C	2	1
AB0192-C	2	1
AB0197-C	2	2
AB0198-C	2	1
AB0199-C	2	1
AB0201-C	2	2
AB0202-C	2	2
AB0203-C	2	2
AB0204-C	2	0
AB0205-C	1	2
AB0206-C	2	2
AB0207-C	2	2
AB0208-C	2	2
AB0209-C	2	0
AB0210-C	2	1
AB0211-C	2	1
AB0212-C	2	1
AB0213-C	2	0
AB0217-C	2	1
AB0219-C	2	0
AB0221-C	2	0
AB0222-C	2	2
AB0223-C	2	1
AB0224-C	1	1
AB0226-C	2	1
AB0227-C	2	1
AB0228-C	2	2
AB0229-C	2	1
AB0231-C	1	2
AB0233-C	1	2
AB0234-C	2	0
AB0235-C	2	2
AB0236-C	2	1
AB0237-C	2	0
AB0238-C	2	2
AB0239-C	2	2
AB0240-C	2	0
AB0241-C	2	2
AB0242-C	2	0
AB0243-C	2	0
AB0244-C	2	2
AB0246-C	2	1
AB0249-C	2	0
AB0250-C	2	0
AB0251-C	1	2
AB0252-C	2	1
AB0253-C	2	2
AB0256-C	1	2
AB0257-C	2	2
AB0258-C	2	2
AB0260-C	2	1
AB0261-C	1	2
AB0262-C	2	2
AB0263-C	2	1
AB0264-C	2	2
AB0265-C	2	2
AB0266-C	2	2
AB0267-C	2	0
AB0268-C	2	2
AB0270-C	1	1
AB0271-C	2	2
AB0272-C	2	2
AB0273-C	2	2
AB0274-C	2	2
AB0276-C	2	1
AB0277-C	2	1
AB0278-C	2	1
AB0279-C	2	1
AB0280-C	2	2
AB0281-C	2	0
AB0282-C	2	1
AB0283-C	2	2
AB0284-C	2	2
AC0090-C	1	0
AC0091-C	1	1
AC0092-C	2	1
AC0093-C	1	0
AC0094-C	1	0
AC0095-C	2	0
AC0096-C	1	0
AC0097-C	2	1
AC0098-C	2	0
AC0099-C	0	0
AC0100-C	1	0
AC0101-C	1	0
AC0102-C	0	0
AC0103-C	2	0
AC0104-C	0	0
AC0106-C	2	0
AC0107-C	0	0
AC0108-C	2	0
AC0109-C	2	1
AC0110-C	1	0
AC0111-C	2	1
AC0112-C	1	0
AC0113-C	1	0
AC0114-C	1	1
AC0115-C	2	0
AC0116-C	2	0
AC0117-C	1	0
AC0118-C	1	1
AC0119-C	0	0
AC0120-C	0	1
AC0121-C	2	0
AC0122-C	1	0
AC0123-C	1	0
AC0124-C	2	0
AC0125-C	1	1
AC0126-C	0	0
AC0127-C	2	0
AC0128-C	1	0
AC0129-C	2	2
AC0130-C	2	0
AC0131-C	1	0
AC0132-C	2	0
AC0133-C	1	1
AC0135-C	1	0
AC0136-C	1	0
AC0137-C	2	0
AC0138-C	0	0
AC0139-C	0	0
AC0140-C	2	0
AC0142-C	1	1
AC0143-C	2	0
AC0144-C	2	0
AC0145-C	1	0
AC0147-C	2	0
AC0148-C	2	0
AC0149-C	1	0
AC0150-C	0	0
AC0151-C	1	0
AC0152-C	1	0
AC0153-C	0	0
AC0154-C	1	0
AC0156-C	1	1
AC0158-C	1	1
AC0159-C	0	0
AC0160-C	1	0
AC0161-C	2	0
AC0162-C	1	1
AC0163-C	1	1
AC0164-C	1	0
AC0166-C	1	0
AC0167-C	1	0
AC0168-C	1	1
AC0169-C	2	0
AC0170-C	1	0
AC0171-C	2	0
AC0172-C	2	0
AC0173-C	1	0
AC0174-C	1	1
AC0176-C	0	0
AC0178-C	1	0
AC0179-C	2	0
AC0180-C	2	0
AC0181-C	0	1
AC0182-C	2	0
AC0183-C	1	2
AC0184-C	2	0
AC0186-C	0	0
AC0187-C	1	0
AC0188-C	1	0
AC0189-C	2	1
AC0190-C	2	0
AC0191-C	2	0
AC0192-C	2	0
AC0193-C	2	0
AC0194-C	2	1
AC0195-C	1	0
AC0196-C	2	0
AC0197-C	2	0
AC0199-C	1	0
AC0200-C	1	0
AC0201-C	2	0
AC0202-C	1	0
AC0203-C	1	1
AJ0023-C	0	0
AJ0024-C	0	0
AJ0032-C	2	0
AJ0035-C	1	0
AJ0036-C	0	0
AJ0039-C	0	0
AJ0043-C	1	0
AJ0044-C	1	0
AJ0045-C	2	0
AJ0047-C	1	0
AJ0051-C	1	0
AJ0052-C	0	0
AJ0056-C	0	0
AJ0061-C	0	0
AJ0063-C	1	0
AJ0064-C	1	0
AJ0066-C	0	0
AJ0070-C	0	0
AJ0071-C	0	0
AJ0072-C	0	0
AJ0074-C	2	0
AJ0075-C	1	0
AJ0076-C	1	0
AJ0077-C	1	0
AJ0078-C	1	0
AJ0081-C	1	0
AJ0084-C	1	0
AJ0085-C	0	0
AJ0086-C	0	0
AJ0088-C	0	0
AJ0090-C	1	0
AJ0092-C	1	0
AJ0093-C	1	0
AJ0096-C	0	0
AJ0097-C	1	0
AJ0098-C	0	0
AJ0100-C	0	0
AJ0101-C	0	0
AJ0102-C	0	0
AJ0103-C	1	0
